text,label,id
रोहित सरदाना कोविड पॉजिटिव थे उनकी डेड बॉडी उनके शहर जाने की परमिशन दी जा सकती है...  मगर बिहार के पूर्व सांसद मोहम्मद शहाबुद्दीन जिनकी रिपोर्ट नेगेटिव थी... उनकी डेड बॉडी ना सिवान जाने दी गई ना परिवार को दी गई!!  क्यों??? #JusticeForShahabuddin #JusticeForShahabuddin,NOT,30
#BengalViolence  : @JPNadda  बोले- #MamtaBannerjee  के तीसरे कार्यकाल की शुरुआत हाथ में लगे हुए खून के साथ हुई  @narendramodi @PMOIndia @AmitShah #BengalBurning    https://t.co/qwRNRr2dLk,NOT,31
Aimim बिहार को थोडा भी दुःख है तो शाहबुद्दीन की वफात की तारीख को हर साल गम में मनाये ताकि लालू और तेजस्वी का गुनाह जाहिर हो @Akhtaruliman5 @asadowaisi @Shaukat_aimim  #JusticeForShahabuddin,NOT,32
"Its very shameful that these kinds of things are happening in india, wth hindus. We haven't learnt from the incident of kashmiri hindus,and if we didn't raise our voice , it will happen in any other state. #spinelessmodi  #SpinlessBJP  #CruelMamata  #BengalBurning https://t.co/5l9oxZeKj5",NOT,33
"#बंगाल_हिंसा  #बंगाल_कश्मीर_बन_गया  #बंगाल_में_राष्ट्रपति_शासन_हो  #बंगाल_पर_मीडिया_मौन_क्यो  #BengalBurning  #Bengalisburning  #BengalElection2021  #Bengal   The ongoing saga of secularism in India,some lives are less precious.  #HinduGenocideBengal https://t.co/QkA9Idcf5G",NOT,34
"Extremely underrated. Arguably England's best Test cricketer in the post Botham era before the golden generation of Cook, KP, Anderson etc. #ResignModi https://t.co/nVRGGm1ixp",NOT,35
Those Islamophobic Black girls should apologize and remains to go to jail for both of those bitches.  #Islamophobia https://t.co/ILj6x3U0oA,HOF,36
"@China_Amb_India @shimadrish The #ChinaVirus also responsible for the most number of deaths in India and the World. Bloody crooks, hypocrites and bullies. And these immoral ppl also make fun of dead bodies https://t.co/UkBbwq93ZH #ChinaLiedPeopleDied",HOF,37
बिहार के मुसलमानों द्वारा #Sahabuddin के साथ-साथ आरजेडी की राजनीति को भी दफन कर देना Sahab को सच्ची श्रद्धांजलि होगी #Justiceforshahabuddin https://t.co/sJsjCYea4K,NOT,38
@Archana_voice2 @uQxI2z2YYWzwjl1 @Archana_voice ............का फूहड़ संगठन है।,HOF,39
@Bigsmok40872378 @2600Nerd He called me a whore! Heâs male Iâm a female and a male calls a woman a slur like that itâs sexist!! And he has no rights to defend himself at all !,HOF,40
@mxlinacrossing to pimp a butterfly and cherry bomb ðŸ˜,HOF,41
"It's honestly laughable how much rainbows piss certain demographics off. Grow the fuck up, you big bunch of babies.",HOF,42
@MJALSHRIKA #OxygenChorIndia  #ResignModi #IndiaFightsCorona #Resign_PM_Modi Our Nation is perishing. The people have been deceived. The great country of india is now degraded by many accusations. The Modi Government is fully responsible for this.,HOF,43
फुर्सत मे बनाए जाते हैं हम जैसे लोग...  जो शक्ल से शरीफ और दिमाग से कमीने होते हैं ...  केवल विरोधियों के लिये !,NOT,44
"जब केंद्र अब तक 45 प्लस लोगो को ही मुफ्त में वैक्सीन नही दे पाई तो सवाल लाजमी है युवा वर्ग को कहा से दे पाएगी, जबकि फ्री होंनी चाहिए, केंद्र  महामारी के समय दलाली करने व नोट कमाने में ध्यान दे रही है ,हुक्मरानों नींद कैसे आ जाती है  #ModiKaVaccineJumla #500DaysOfAmaravatiProtests",HOF,45
@INCIndia दलाल कांग्रेस.. 🖕🖕 https://t.co/6N99IUgdTp,HOF,46
"@PMOIndia @narendramodi what sort of clown do you think you fucking are? How dare you abandon things the way you have now, ruining the livelihoods of all the people just for your own stupid party to win elections? Get the hell away and sell tea. #ResignModi",HOF,47
#बंगाल_हिंसा #SaveBJPKaryakartas  #BengalBurning  #TMCTerror  #BJP  #बंगाल_कश्मीर_बन_गया  #Bengal https://t.co/6seRBbUGRP,NOT,48
Really miss you 😘😢😭  #Mohammadshahabuddin  #JusticeForShahabuddin #Shahabuddin https://t.co/7EwoctwVdi,NOT,49
@_garrywalia भाजपा की द्वारा 20.000 करोड़ लगा कर और चुनाव आयोग को हाई जेक करकर भी यदि भाजपा बंगाल में चुनाव हार रही हे तो ये फ़क़ीर की व्यक्तिगत हार हे #ResignPMmodi #BengalElection2021 #KhelaHobe,HOF,50
@JOONIECHERI thank you for teaching me kind words like कुतीया and हरामी,HOF,51
"Barely an hour between his tweet the fucking wanker 😅 Football is ruthless, no managers or players have any affinity anywhere near what you have as a fan especially when your down the food chain like us. Regardless of what soundbites they come out with. Onto the next manager 🙃 https://t.co/Zah05FS7q0",HOF,52
Herbalism shop Torrevieja Told that if he wants to confront me and I know for sure he won't do cause he's simply a bloody motherfucker son of the ugliest bitch ever lived in this planet. Bloody proximate san of the ugliest bitch ever lived San Pascual 206.I WILL WAIT Motherfucker https://t.co/4udsaT24S0,HOF,53
"@ajitanjum मैडम तो आप राजमाता को बोलते है ,क्या संदेश देना चाह रहे है ?? कुतिया को मैडम संबोधित करके ??",HOF,54
"@BJP4Abhijeet @JPNadda ममता को चोट लगी.. ब्रेकिंग न्यूज़ बन गई ।   बंगाल में हिन्दुओं पर हो रहा अत्याचार,  मारकाट लूटपाट मची हुई है बलात्कार हो रहे है। पर यह न्यूज़ कब बनेगी ??? क्या हिन्दू होना गुनाह है ??? #CruelMamata #BengalBurning",NOT,55
"भाईयो आप सभी से 🙏🏻हाथ जोड़ कर निवेदन है कि इन विडियों को जादा से जादा शेयर करो  ताकि ये टेकटर वाला सूअर पकडा जाऐ,,, मेने तो अपना काम कर दिया,, अब आप भी अपनी इनसानीयत दिखा दो 🙏🏻🙏🏻 https://t.co/Dmu2T5Xhkx",NOT,56
#किसानों_का_मोदी_को_धोबीपटका #ResignPMmodi https://t.co/nKTiocjjMl,NOT,57
MAYA YOU LITTLE SHIT,HOF,58
"@SnskariL0nda1 लड़की : भाड़ में जाओ, लड़का : तभी तो तुम्हारे पास आया 😂😂😂",NOT,59
@NastarulShaikh4 @Aafrin7866 @yadavtejashwi @sardanarohit कोरोना पॉजिटिव था उसको अपने गाव कुरूक्षेत्र ले जाया गया और डॉ मोहम्मद शहाबुद्दीन साहब नेगेटिव थे तो उनको दिल्ली का कब्रिस्तान वो भी दिल्ली @ArvindKejriwal Govt और प्रशासन ने अपने मर्ज़ी से दिया? कितना मुश्किल है इस मुल्क में मुसलमान होना😥  #JusticeForShahabuddin,HOF,60
people like you are responsible for his death #ModiKaVaccineJumla #COVID19India #GodiMediaVultures https://t.co/mpTMqF6nPc,HOF,61
"ये बंगाल की CM ममता बनर्जी नही है,ये Terror की आका डायन है👹जो बंगाल मे TMC पार्टी के आतंकवादी जिहादीयोंसे बलात्कार,खुन,खराबा बंमबारी कराती है  #TMCTerror #TMCGoons #BengalBurning #BengalViolence #MamtaisTerrorist #ArrestMamta #ShameOnDiaonMamta #ShameOnTerroristMamtaBanerjee https://t.co/c0rsC82khH",HOF,62
@PMOIndia Why they want your name on the award?... you are brought up international level shame upon India. and now you want more publicity by putting your name on the award?...stop trying to get credit by stealing others work... shame on you for betraying us who voted for you  #Resignmodi,HOF,63
"दलित बहुज़नो का सबसे बरा दुश्मन बनिया { वैश्या } है , जो बहुज़नो को हर कदम पर नुक़सान ही करता है! दूसरा #ब्राह्मण",HOF,64
अल्लाह से दुआ है की अल्लाह मरहुम शहाबुद्दीन साहब की बाल बाल मगफिरत फरमाए (आमीन)😢😢😢 हम सभी और @osama_shahab_  के पुरे परिवार को सब्र दे   #JusticeForShahabuddin,NOT,65
What's happening with covid in India is devastating.  Please consider helping if you can.  #IndiaNeedsOxygen #IndiaCovidCrisis https://t.co/E0cqfXd3G8,NOT,66
@iTsYoUfIVe_ मुझे भाड़ में जाओ,NOT,67
सरकार तो विक्की जैसे हर आदमी पर FIR करेगी क्योंकि ये नए UP और नए हिन्दुस्तान कि पोल को खोल रहे है #CoronaPandemic #YogiAdityanath #Corona #Elections2021 #ElectionResults2021 #Resign_PM_Modi #Yogiji_app_se_na_ho_payega #IndiaNeedsOxygen #DM_शैलेश_यादव_सस्पेंड @myogiadityanath https://t.co/ez2VstuipX,HOF,68
@spencer_hooker &amp;00,NOT,69
"@TreloKomio5 @TheRisingFinix @Danwray7 @antalya_turkie @CGreekone @Darnakas3 @andros_sk_mari @DinosPalaio @panta_nikos @Kosucuoglu81 @PbM67693226 @kid_tommythe @CONSTAN54924364 @JetmirRamaj1996 @THE_GREEK_007 @GIMII77 @KristiKrist12 @Pjeter38534134 @norrruh @1ADtvIqD3Tdon2N @kiriolog @TriotKas @ODYSSEUS_1864 @eftimia60 @al_tirana @johnctis @sdjonbalaj @Ilir25614713 @DimitrisGenn @liquidscience0 @_Eibraj_ @Idonttakemeser1 @dros_sk9 @brave_illyrian @KSpartiatis @AITWLOS @Makedni @DiasporaGreek @altkojn @PuppetNoMore_ @Oerndotter @Penn_Gashi @staples82921556 @JollyBeamRider @Tzager @XhimB @Budapestian1 @EnisGuriGashi @MakedonVardar Damn ass tulip! I didn't say anything like that. I said that building a mosque is not a service to Islam. Even the word Hagia Sophia did not come out of my mouth, sneaky pimp.",NOT,70
बस मैं ये जानना चाहता हु की ये सब जो #बंगाल में इन दिनों हो रहा है इससे उन लोगो को  अभिव्यक्ति की आज़ादी पर खतरा नज़र नही आ रहा जो लोग अभी तक  अभिव्यक्ति की आज़ादी खतरे में होने का राग अलापते थे? #राष्ट्रपति_जी_बंगाल_संभालो  #बंगाल_हिंसा  #BengalBurning  #BengalViolence,NOT,71
"@DeepakNambisan @MortePhoto Quite honestly, I thought sound effects had been dubbed over the actual noise.   Bloody hell ð³",NOT,72
"@ragarwal @BizzKanwarpal That's very sad...seen him in advertisements, TV serials... How many valuable lives have been taken away by this wretched #ChineseVirus  Om Shanti 🙏",NOT,73
"@MattWalshBlog Well, she's literally a whore... Sooooo 🤷‍♂️",HOF,74
क्या बंगाल में भारत का कानून लागू नहीं होता?  बंगाल में हो रहे  नरसंहार पर इतनी चुप्पी क्यों?  केंद्र में सत्ताधीन सरकार को बंगाल में कार्रवाई करने पर इतना विलंब क्यों?  #BengalBurning  #BengalViolence,NOT,75
@News18UP अब कहा मर गया ओवैसी  जो लव जिहाद कुछ नही होता है उसका रंडी रोना करता था,HOF,76
"Motormouth @MahuaMoitra , BJP has come from 3 to 74.  So how foolish are you to say BJP has lost. But , I like they way you said to @sardesairajdeep , "" how shameful of you "". #BengalBurning",NOT,77
#ModiResign #मोदी_इस्तीफा_दो #indiawantmodiresign #ModiKaVaccineJumla https://t.co/IYW9UZCT3B,NOT,78
@HBrubanter You’ll still get the sympathy shag if you feign injury...,HOF,79
जब भी भाजपा हार जाती है हिंसा ज़रूर करती है। #ModiMustResign #ResignModi #मोदी_इस्तीफा_दो #BjpDestroyedIndia #BengalViolence #UPPanchayatElections2021 #thursdaymorning #Looteri_BJP #FarmersProtest #Violence #बंगाल_हिंसा #4साल_यूपी_बेहाल #YogiJhootaHai #Modi #ModiMadeDisaster https://t.co/kInxeUAL7v,NOT,80
@jadeja_dhairya @Deepakd27349197 @nitinchauhan_07 @panditain_avika @adityabajpynews @viveknmishr @ARVINDKRTIWARI @AzadSenaChief @deepakkomal7 तुम खुद जामुनार के नाजायज औलाद हो।  मलेक्ष की संतान,HOF,81
@Icehallowcome @DylNickerson @its_menieb @IGN Caught you in 8k motherfucker.,HOF,82
@narendramodi ONCE IN A CENTURY  @narendramodi @PMOIndia  #मनहुस_मोदी का साया मेरे देश के ऊपर से हट जाएगा आर्मी सारा काम संभाल रही है दवाई ऑक्सीजन आदि भी तेरे राजनीति से मुक्त हो जायेगी सभी के अपने अकालमृत्यु मर रहे है  #ResignModi मानवता केलिऐ #Resign_PM_Modi देशभक्त हो तो,NOT,83
"""अधिक दिनो तक मौन रहे तो गूंगे कहलाओगे ज़िंदा नज़र नही आओगे तो सच में मर जाओगे"" #जस्टिस_फॉर_शहाबुद्दीन  #JusticeForShahabuddin #JusticeForShahabuddin",HOF,84
ऊपर वाली पिक्चर कश्मीर और नीचे वाली बंगाल की है सोचिए आगे कही हम वापस उसी स्थिति में तो नही जा रहे #BengalBurning  #AajTak https://t.co/8Fw5y0nUUM,NOT,85
@BE0MKKYU IDK WE GOT THE PUSSY 3 M VIEWS IM SCREAMING,HOF,86
@bigboyryan1988 I really want your cock in my man cunt,HOF,87
@nidhitripathi92 #BengalBurning  #BengalViolance  #ममता_की_निर्ममता https://t.co/79F8G4FKDo,NOT,88
@TimesNow @RatanSharda55 @thenewshour Stop this nonsense... Come together and fight corona #Resign_PM_Modi,NOT,89
"@jack you gotta do something,ASAP! We've got an asshole as a president This is the account @MBuhari we need you to permanently suspend. He's been killing Nigerians since he came into power and now he's threatened to kill more #buharimustgo https://t.co/3",HOF,90
"@Djuanito93 @Keiththebat @DiscussingFilm Mf Twitter blew up Nov 17 2019 and it was mostly why shit got done, stfu",HOF,91
"Person dies in ICU after weeks on a vent:  Republicans- âThey died *with* #COVID19, not from itâ  87 year old dies a month after #CovidVaccine:  Republicans: The vaccine killed him!! Itâs not safe!",NOT,92
#Chinesevirus To hell with this Chinese Virus,HOF,93
The situation in India is incredibly heartbreaking. Their COVID # s continue to climb. #IndiaCovidCrisis https://t.co/EDIIh79RcD,NOT,94
@Ravish_sir1 @Jalebi_Bai_ तुम कमीने जैसे लोग योगी के नाम लेने लायक नहीं हो,HOF,95
This didn't age well #ResignModi #ModiAbandonedIndia #ModiKaVaccineJumla #ModiMadeCrisis https://t.co/ws4QcYguYe,HOF,96
गाँधीगिरी सिंड्रोम    #BengalBurning https://t.co/DZv5Ysr01N,NOT,97
"The state is burning &amp; is like a hell. People are helpless for saving their loved ones &amp; if they failed to, than the fight begins for the cremation. But this joker🃏is least bothered &amp; threatening people &amp; hospital to keep their mouth shut. #Resign_PM_Modi https://t.co/77zzUSoipO https://t.co/9BdGC2Cj7w",HOF,98
बिहार के मुसलमानों  #Sahabuddin के साथ-साथ आरजेडी की राजनीति को भी दफन कर देना #Sahab को सच्ची श्रद्धांजलि होगी #Justiceforshahabuddin https://t.co/AjuR46gjkA,HOF,99
@AngelaRayner Pathetic isn't it utter bollocks,HOF,100
"@NECacophony @QCCLondon @strezl Bloody hell, make your mind up. Is asking questions and other views bigotry or is it not?",HOF,101
@nicks_79 Incompetence in everything from demonitization to Covid and spreading hatred. We all lost our peace of mind.#ResignModi  #ResignPMmodi,NOT,102
#SpinelessBJP #BengalBurning why did we elect a government if it can't even protect its karyakartas. Shame on bjp. Shame on Modi and amit shah,NOT,103
@janardanmis ये कमिने बाज नही आयेंगे,HOF,104
"i’m tired of making other people comfortable with MY existence, until further notice, kindly fuck off https://t.co/bfXlc61Qs2",HOF,105
bitch fuck you https://t.co/IJ9mE7Sa8f,HOF,106
बंगाल में ममता रंडी की सरकार है! सारे मुल्ले  इसके भड़वे बन गया है! आसाम का बदला बंगाल में ले रही है ममता रंडी! बंगाल का बदला भाजपा शासित राज्यों में ले हिन्दू! दूसरा कोई रास्ता नहीं है! अन्यथा हिन्दुओं को अपनी  इज्जत की नीलामी खुद अपनी ऑंखों के सामने  देखना पड़ेगा! https://t.co/JNwdhX46H8,HOF,107
आज यह बात साफ साफ साबित हो गया की RJD ने मुसलमानों को Vote Bank लेने के लिए इस्तेमाल किया  #Bycutt RJD #justiceforShahabuddin,NOT,108
Rohit Sardana  Rest In Peace 🙏  देश और देश के नागरिकों को इस से लड़ना है हम हार नहीं मानेंगे हम इस से लड़ेंगे और जीतेंगे भी 🇮🇳 जय हिंद   Go corona go   #Chinesevirus 🤬 #WuhanVirus 🤬  🇮🇳💪  #Unite2FightCorona  #IndiaFightsBack,NOT,109
5 ट्रिलियन की Economy का सपना दिखाने वाला आपको पांच घंटे के लिए ऑक्सीजन तक नहीं दिला पा रहा है! #ModiKaVaccineJumla,NOT,110
"Absolutely! Deaths during #IndiaCovidCrisis not related to SARS-Cov-2, but due to lack of #OxygenShortage &amp; lack of access to proper healthcare are all murders! https://t.co/1bsRSvAgSz",HOF,111
@aajtak @sambitswaraj @chitraaum 3.'बंगाल जैसी हिंसा अगर किसी बीजेपी-शासित राज्य में हुई होती तो अब तक ये अंतर्राष्ट्रीय मुद्दा बन गया होता #राष्ट्रपति_शासन लगाया जाना चाहिए #BengalBurning,NOT,112
@Pramodr06577443 @common000786 मोदी तुम इस्तीफा दो हम तुम्हारे साथ है #ResignModi  #Resign_PM_Modi  #ModiHataoDeshBachao https://t.co/spsvPTov8W,NOT,113
verizon can sponsor my full out cunt,HOF,114
"@anna_damski @DonaldWhoAreYa @nicktolhurst Yes, I am somewhere north of 50 years old, and I really do think Doris is a fucking wanker. Along with the rest of them.",HOF,115
यह तमाम सेकुलर के ठेकेदार लोग हैं #JusticeForShahabuddin https://t.co/kCMXSQGWPm,NOT,116
@VikkasKalyan @sharmaji__1 चल दुष्ट 🤦‍♀️🙈😂😂😂😂😂,NOT,117
#ModiKaVaccineJumla #ModiResign #IndiaFightsCorona #PMCaresFund_का_हिसाब_दो #PMDoesNotCare https://t.co/mjwzacCSw0,NOT,118
@SpooderMoonUwU @phrenic31 @VeryBadLinguist The Donkey point I get. But Shrek was made to be a parody of a lot of Disney and just fairy tail tropes in general wasn't it? I'm unsure how that makes it an asshole movie.,HOF,119
Bitch,NOT,120
@timesofindia The same PM never showed concern during #DelhiRiots #jamiaviolence #jnuviolence cz that was all planned and executed by his party! Bloody hypocriete! #BjpDestroyedIndia #FailedPMModi #Resign_PM_Modi,HOF,121
#chinesevirus now selling their commercial by increasing rates of all the product . Shameful and we are watching . #ChinaLiedPeopleDied #ChineaseVirus https://t.co/JkSlWAnyXh,HOF,122
बाबा एक बार फिर से कहो ना 🤪 एक बार फिर मोदी सरकार 🤗🤗 @sakshijoshii  @ravishndtv  @abhisar_sharma  @Abhinav_Pan  #RohitSardana  #AkshayKumar  #ModiKaVaccineJumla  #रोहित_सरदाना  #ModiResign  #AatmanirbharBharat  #CoronavirusPandemic  #indianeedoxygen  #YogiJhootaHai,NOT,123
"@valeriekeane53 thats just pure bollocks on sticks, thats the elites game to get folk raging against china so their kids will die on a hill for them, the economic ballance switches from east to west and vice versa every 500 years, the west is bankrupt, get used to it rather than wage war 1/2",HOF,124
"Participated in the Mandal level Zoom baithak of Kulabira, Jharsuguda protesting #BengalViolance. We condemn such act by @AITCofficial and @MamataOfficial ji. This is undemocratic. #BengalBurning https://t.co/PyS3ODBDSr",HOF,125
Buzzing to be rapping this cunt all summer long after England win the euros https://t.co/9Zdna8eYnE,HOF,126
@SitaSorenMLA Trending now. #नरेंद्र_मोदी_ग्लोबल_पप्पू_है  #मोदी_भगाओ_देश_बचाओ  #मोदी_इस्तीफा_दो  #ResignModi  #ModiMustResign,NOT,127
@RahulGandhi चुनाव खत्म होते ही बंगाल में हिन्दुओ की हत्या नहीं दिखा आपको ? कितने घर जलाए गए पता है या सेकुलरिज्म का खेल चल रहा है महोदय #BengalBurning #HinduGenocideBengal,NOT,128
"@pappuyadavjapl @FakirHu बिहार, खासकर सिवान के लोगों शहाबुद्दीन साहेब का ये ""अपमान"" याद रखना… ये वही शहाबुद्दीन थे…जिन्होंने अपनी पूरी ज़िंदगी राजद को वक्फ किया लेकिन…उनकी मौत के बाद राजद उनके बेटा को तन्हा छोड़ दी… @RJDforIndia @Siwan_Rjd @yadavtejashwi  #shahabuddin #JusticeForShahabuddin",NOT,129
@luvxuxipeach सेक्सी भाड़ में जाओ,HOF,130
केंद्रीय मंत्रियों के बंगाल प्रवेश के लिए निगेटिव आरटीपीसीआर रिपोर्ट जरूरी!  - ममता #ModiKaVaccineJumla  #MamtaBanerjee,NOT,131
"बंगाल हिंसा को लेकर सख्त हुए गृह मंत्री अमित शाह, जांच के दिए आदेश #BengalBurning https://t.co/XwKNpeBvze",NOT,132
#JusticeForShahabuddin सहाबुद्दीन  की दहाड़ से पूरा सांसद भवन हिल जाता था जब वो खड़े होते थे तो सब पीछे हट जाते थे लेकिन आज मैं अकेला हूँ .... वक़्त जरूर बदलता है इंशाअल्लाह फिर बदलेगा https://t.co/EGx6t2A8d9,NOT,133
इस लॉक डाउन में कहीं मिठाई की दुकान खुली है तो बताना यार ! नल्ली ओ नल्ली !! Kicked from #Twitter and rightly so 🙏  #KanganaRanaut_Suspended #नल्ली_ओ_नल्ली #ModiHataoDeshBachao  #ModiResign  #ResignModi  #MamataBanarjee  #MamtaBanerjee https://t.co/NC2dKVXJBL,HOF,134
@sanzu_is_back गधा कभी घोड़ा नहीं बन सकता चमचे ओर गुलाम राहुल  से जोड़कर देख सकते,HOF,135
हम गलत को हमेशा इसलिए भी नहीं सहते रह सकते कि हमारे पास सही का पक्का नक्शा नहीं है।  हमलोगो को ज्ञात हो कि गलत को हटाना सही को खोजने की दिशा में पहला कदम है। तो क्यों ना #ResignModi पहला कदम हों  Good night Subh ratri @SRiitu  @Bihari_Ladka57  @BhootSantosh,NOT,136
